,i,t,x,v,E,EKS,ekin,ekin_u
207,207,1035,"[[0.16126194 0.16126194 0.16126194]
 [2.40373806 2.40373806 2.40373806]]","[[ 0.0001152  0.0001152  0.0001152]
 [-0.0001152 -0.0001152 -0.0001152]]",-8.241584158644056,-8.24363198793303,0.0020384038954556266,9.425393517350962e-06
208,208,1040,"[[0.1618306 0.1618306 0.1618306]
 [2.4031694 2.4031694 2.4031694]]","[[ 0.00011225  0.00011225  0.00011225]
 [-0.00011225 -0.00011225 -0.00011225]]",-8.24158415192203,-8.243528245386113,0.0019351951421972579,8.898321885751027e-06
209,209,1045,"[[0.16238442 0.16238442 0.16238442]
 [2.40261558 2.40261558 2.40261558]]","[[ 0.00010926  0.00010926  0.00010926]
 [-0.00010926 -0.00010926 -0.00010926]]",-8.241584145247577,-8.243426171502342,0.0018336378223533947,8.388432412521823e-06
210,210,1050,"[[0.16292324 0.16292324 0.16292324]
 [2.40207676 2.40207676 2.40207676]]","[[ 0.00010625  0.00010625  0.00010625]
 [-0.00010625 -0.00010625 -0.00010625]]",-8.241584138683795,-8.243325874213319,0.0017338373855495023,7.898143975894329e-06
211,211,1055,"[[0.1634469 0.1634469 0.1634469]
 [2.4015531 2.4015531 2.4015531]]","[[ 0.0001032  0.0001032  0.0001032]
 [-0.0001032 -0.0001032 -0.0001032]]",-8.241584132229606,-8.243227459650738,0.0016359003704089475,7.427050722246134e-06
212,212,1060,"[[0.16395528 0.16395528 0.16395528]
 [2.40104472 2.40104472 2.40104472]]","[[ 0.00010013  0.00010013  0.00010013]
 [-0.00010013 -0.00010013 -0.00010013]]",-8.24158412583001,-8.24313103217235,0.0015399329852486497,6.97335708971639e-06
213,213,1065,"[[0.16444822 0.16444822 0.16444822]
 [2.40055178 2.40055178 2.40055178]]","[[ 9.70305169e-05  9.70305169e-05  9.70305169e-05]
 [-9.70305169e-05 -9.70305169e-05 -9.70305169e-05]]",-8.241584119534593,-8.24303669505029,0.0014460396654153186,6.535850280544944e-06
214,214,1070,"[[0.16492558 0.16492558 0.16492558]
 [2.40007442 2.40007442 2.40007442]]","[[ 9.39029544e-05  9.39029544e-05  9.39029544e-05]
 [-9.39029544e-05 -9.39029544e-05 -9.39029544e-05]]",-8.241584113394897,-8.242944549814354,0.001354322299867195,6.114119589725581e-06
215,215,1075,"[[0.16538725 0.16538725 0.16538725]
 [2.39961275 2.39961275 2.39961275]]","[[ 9.07492347e-05  9.07492347e-05  9.07492347e-05]
 [-9.07492347e-05 -9.07492347e-05 -9.07492347e-05]]",-8.24158410736539,-8.242854695552737,0.0012648803893410966,5.707798005513919e-06
216,216,1080,"[[0.16583308 0.16583308 0.16583308]
 [2.39916692 2.39916692 2.39916692]]","[[ 8.75701658e-05  8.75701658e-05  8.75701658e-05]
 [-8.75701658e-05 -8.75701658e-05 -8.75701658e-05]]",-8.241584101433036,-8.242767229477023,0.0011778116896992198,5.316354288686132e-06
217,217,1085,"[[0.16626295 0.16626295 0.16626295]
 [2.39873705 2.39873705 2.39873705]]","[[ 8.43666002e-05  8.43666002e-05  8.43666002e-05]
 [-8.43666002e-05 -8.43666002e-05 -8.43666002e-05]]",-8.241584095642166,-8.242682247108789,0.001093212560703543,4.938905918283845e-06
218,218,1090,"[[0.16667674 0.16667674 0.16667674]
 [2.39832326 2.39832326 2.39832326]]","[[ 8.11394303e-05  8.11394303e-05  8.11394303e-05]
 [-8.11394303e-05 -8.11394303e-05 -8.11394303e-05]]",-8.241584090011623,-8.242599841671563,0.0010111775635021684,4.574096438391884e-06
219,219,1095,"[[0.16707434 0.16707434 0.16707434]
 [2.39792566 2.39792566 2.39792566]]","[[ 7.7889559e-05  7.7889559e-05  7.7889559e-05]
 [-7.7889559e-05 -7.7889559e-05 -7.7889559e-05]]",-8.2415840845509,-8.242520103770898,0.0009317984988503015,4.220721148871546e-06
220,220,1100,"[[0.16745564 0.16745564 0.16745564]
 [2.39754436 2.39754436 2.39754436]]","[[ 7.46178643e-05  7.46178643e-05  7.46178643e-05]
 [-7.46178643e-05 -7.46178643e-05 -7.46178643e-05]]",-8.241584079269172,-8.242443121226131,0.0008551634800540962,3.878476905715372e-06
221,221,1105,"[[0.16782052 0.16782052 0.16782052]
 [2.39717948 2.39717948 2.39717948]]","[[ 7.13251788e-05  7.13251788e-05  7.13251788e-05]
 [-7.13251788e-05 -7.13251788e-05 -7.13251788e-05]]",-8.241584074148706,-8.242368978965654,0.0007813565450050732,3.5482719428907145e-06
222,222,1110,"[[0.16816889 0.16816889 0.16816889]
 [2.39683111 2.39683111 2.39683111]]","[[ 6.80122978e-05  6.80122978e-05  6.80122978e-05]
 [-6.80122978e-05 -6.80122978e-05 -6.80122978e-05]]",-8.241584069180021,-8.24229775927658,0.0007104580056621641,3.232090897767562e-06
223,223,1115,"[[0.16850064 0.16850064 0.16850064]
 [2.39649936 2.39649936 2.39649936]]","[[ 6.46800208e-05  6.46800208e-05  6.46800208e-05]
 [-6.46800208e-05 -6.46800208e-05 -6.46800208e-05]]",-8.241584064387503,-8.242229541937903,0.0006425453983697817,2.9321520305720754e-06
224,224,1120,"[[0.16881569 0.16881569 0.16881569]
 [2.39618431 2.39618431 2.39618431]]","[[ 6.13292064e-05  6.13292064e-05  6.13292064e-05]
 [-6.13292064e-05 -6.13292064e-05 -6.13292064e-05]]",-8.241584059810375,-8.242164403861471,0.0005776944642929783,2.6495868037520955e-06
225,225,1125,"[[0.16911394 0.16911394 0.16911394]
 [2.39588606 2.39588606 2.39588606]]","[[ 5.79608068e-05  5.79608068e-05  5.79608068e-05]
 [-5.79608068e-05 -5.79608068e-05 -5.79608068e-05]]",-8.241584055475712,-8.242102418481489,0.0005159793976975209,2.3836080794117276e-06
226,226,1130,"[[0.1693953 0.1693953 0.1693953]
 [2.3956047 2.3956047 2.3956047]]","[[ 5.45758542e-05  5.45758542e-05  5.45758542e-05]
 [-5.45758542e-05 -5.45758542e-05 -5.45758542e-05]]",-8.241584051361434,-8.242043655377254,0.00045747208637451415,2.1319294460957212e-06
227,227,1135,"[[0.16965969 0.16965969 0.16965969]
 [2.39534031 2.39534031 2.39534031]]","[[ 5.11754083e-05  5.11754083e-05  5.11754083e-05]
 [-5.11754083e-05 -5.11754083e-05 -5.11754083e-05]]",-8.24158404744122,-8.241988180577268,0.000402240827570346,1.8923084769798809e-06
228,228,1140,"[[0.16990705 0.16990705 0.16990705]
 [2.39509295 2.39509295 2.39509295]]","[[ 4.77605005e-05  4.77605005e-05  4.77605005e-05]
 [-4.77605005e-05 -4.77605005e-05 -4.77605005e-05]]",-8.241584043741579,-8.241936056914932,0.0003503493001459655,1.6638732085470754e-06
229,229,1145,"[[0.1701373 0.1701373 0.1701373]
 [2.3948627 2.3948627 2.3948627]]","[[ 4.4332106e-05  4.4332106e-05  4.4332106e-05]
 [-4.4332106e-05 -4.4332106e-05 -4.4332106e-05]]",-8.241584040297177,-8.241887343661443,0.0003018562980954222,1.4470661693853952e-06
230,230,1150,"[[0.17035037 0.17035037 0.17035037]
 [2.39464963 2.39464963 2.39464963]]","[[ 4.08911616e-05  4.08911616e-05  4.08911616e-05]
 [-4.08911616e-05 -4.08911616e-05 -4.08911616e-05]]",-8.241584037088508,-8.241842096039095,0.0002568161980352004,1.2427525514318112e-06
231,231,1155,"[[0.17054621 0.17054621 0.17054621]
 [2.39445379 2.39445379 2.39445379]]","[[ 3.74386142e-05  3.74386142e-05  3.74386142e-05]
 [-3.74386142e-05 -3.74386142e-05 -3.74386142e-05]]",-8.241584034082367,-8.241800365496594,0.00021527968288171078,1.0517313458392552e-06
232,232,1160,"[[0.17072476 0.17072476 0.17072476]
 [2.39427524 2.39427524 2.39427524]]","[[ 3.39754668e-05  3.39754668e-05  3.39754668e-05]
 [-3.39754668e-05 -3.39754668e-05 -3.39754668e-05]]",-8.24158403131258,-8.241762200155575,0.00017729413980770858,8.74703186485836e-07
233,233,1165,"[[0.17088597 0.17088597 0.17088597]
 [2.39411403 2.39411403 2.39411403]]","[[ 3.05027879e-05  3.05027879e-05  3.05027879e-05]
 [-3.05027879e-05 -3.05027879e-05 -3.05027879e-05]]",-8.241584028840707,-8.241727644307986,0.00014290340840157745,7.120588782257958e-07
234,234,1170,"[[0.17102979 0.17102979 0.17102979]
 [2.39397021 2.39397021 2.39397021]]","[[ 2.70216654e-05  2.70216654e-05  2.70216654e-05]
 [-2.70216654e-05 -2.70216654e-05 -2.70216654e-05]]",-8.241584026659352,-8.241696737547333,0.00011214702044034704,5.638675411814331e-07
235,235,1175,"[[0.17115618 0.17115618 0.17115618]
 [2.39384382 2.39384382 2.39384382]]","[[ 2.35331308e-05  2.35331308e-05  2.35331308e-05]
 [-2.35331308e-05 -2.35331308e-05 -2.35331308e-05]]",-8.241584024721073,-8.241669514851484,8.505952091761651e-05,4.306094924114076e-07
236,236,1180,"[[0.17126512 0.17126512 0.17126512]
 [2.39373488 2.39373488 2.39373488]]","[[ 2.00381148e-05  2.00381148e-05  2.00381148e-05]
 [-2.00381148e-05 -2.00381148e-05 -2.00381148e-05]]",-8.24158402301767,-8.241646007255051,6.167046672543944e-05,3.1377065619097775e-07
237,237,1185,"[[0.17135656 0.17135656 0.17135656]
 [2.39364344 2.39364344 2.39364344]]","[[ 1.65374745e-05  1.65374745e-05  1.65374745e-05]
 [-1.65374745e-05 -1.65374745e-05 -1.65374745e-05]]",-8.241584021580021,-8.241626241993742,4.2005087507360775e-05,2.1532621436786033e-07
238,238,1190,"[[0.17143049 0.17143049 0.17143049]
 [2.39356951 2.39356951 2.39356951]]","[[ 1.30320713e-05  1.30320713e-05  1.30320713e-05]
 [-1.30320713e-05 -1.30320713e-05 -1.30320713e-05]]",-8.241584020440587,-8.241610242038742,2.608497416154927e-05,1.366239936592473e-07
239,239,1195,"[[0.17148688 0.17148688 0.17148688]
 [2.39351312 2.39351312 2.39351312]]","[[ 9.52283444e-06  9.52283444e-06  9.52283444e-06]
 [-9.52283444e-06 -9.52283444e-06 -9.52283444e-06]]",-8.241584019582897,-8.241598025640492,1.392823174563183e-05,7.782585099226524e-08
240,240,1200,"[[0.17152572 0.17152572 0.17152572]
 [2.39347428 2.39347428 2.39347428]]","[[ 6.01076963e-06  6.01076963e-06  6.01076963e-06]
 [-6.01076963e-06 -6.01076963e-06 -6.01076963e-06]]",-8.241584018964332,-8.241589606570148,5.549114472109997e-06,3.849134401496183e-08
241,241,1205,"[[0.17154699 0.17154699 0.17154699]
 [2.39345301 2.39345301 2.39345301]]","[[ 2.49691524e-06  2.49691524e-06  2.49691524e-06]
 [-2.49691524e-06 -2.49691524e-06 -2.49691524e-06]]",-8.241584018583183,-8.24158499472785,9.575712914157397e-07,1.857337566334663e-08
242,242,1210,"[[0.17155069 0.17155069 0.17155069]
 [2.39344931 2.39344931 2.39344931]]","[[-1.01771468e-06 -1.01771468e-06 -1.01771468e-06]
 [ 1.01771468e-06  1.01771468e-06  1.01771468e-06]]",-8.241584018494178,-8.241584196151273,1.5908000497092714e-07,1.8577089785468402e-08
243,243,1215,"[[0.17153681 0.17153681 0.17153681]
 [2.39346319 2.39346319 2.39346319]]","[[-4.53215926e-06 -4.53215926e-06 -4.53215926e-06]
 [ 4.53215926e-06  4.53215926e-06  4.53215926e-06]]",-8.241584018735661,-8.241587212225696,3.1548145931294687e-06,3.8675441575444934e-08
244,244,1220,"[[0.17150537 0.17150537 0.17150537]
 [2.39349463 2.39349463 2.39349463]]","[[-8.04549631e-06 -8.04549631e-06 -8.04549631e-06]
 [ 8.04549631e-06  8.04549631e-06  8.04549631e-06]]",-8.241584019279916,-8.241594039116292,9.941895565277775e-06,7.794081079870909e-08
245,245,1225,"[[0.17145636 0.17145636 0.17145636]
 [2.39354364 2.39354364 2.39354364]]","[[-1.15568064e-05 -1.15568064e-05 -1.15568064e-05]
 [ 1.15568064e-05  1.15568064e-05  1.15568064e-05]]",-8.24158402007672,-8.241604668169346,2.0513472908335e-05,1.346197175991332e-07
246,246,1230,"[[0.1713898 0.1713898 0.1713898]
 [2.3936102 2.3936102 2.3936102]]","[[-1.50651479e-05 -1.50651479e-05 -1.50651479e-05]
 [ 1.50651479e-05  1.50651479e-05  1.50651479e-05]]",-8.241584021111588,-8.241619086648269,3.485862998046982e-05,2.069067001924027e-07
247,247,1235,"[[0.17130571 0.17130571 0.17130571]
 [2.39369429 2.39369429 2.39369429]]","[[-1.85695544e-05 -1.85695544e-05 -1.85695544e-05]
 [ 1.85695544e-05  1.85695544e-05  1.85695544e-05]]",-8.2415840224007,-8.24163727797508,5.2962256837415924e-05,2.9331754313311754e-07
248,248,1240,"[[0.1712041 0.1712041 0.1712041]
 [2.3937959 2.3937959 2.3937959]]","[[-2.20690434e-05 -2.20690434e-05 -2.20690434e-05]
 [ 2.20690434e-05  2.20690434e-05  2.20690434e-05]]",-8.241584023962009,-8.241659221498372,7.480498407294538e-05,3.9255228947329104e-07
249,249,1245,"[[0.17108502 0.17108502 0.17108502]
 [2.39391498 2.39391498 2.39391498]]","[[-2.55626136e-05 -2.55626136e-05 -2.55626136e-05]
 [ 2.55626136e-05  2.55626136e-05  2.55626136e-05]]",-8.241584025790324,-8.24168489223799,0.00010036309057800013,5.03357087624241e-07
250,250,1250,"[[0.17094848 0.17094848 0.17094848]
 [2.39405152 2.39405152 2.39405152]]","[[-2.90492182e-05 -2.90492182e-05 -2.90492182e-05]
 [ 2.90492182e-05  2.90492182e-05  2.90492182e-05]]",-8.241584027884896,-8.241714260932651,0.00012960818093768212,6.248668185624583e-07
251,251,1255,"[[0.17079453 0.17079453 0.17079453]
 [2.39420547 2.39420547 2.39420547]]","[[-3.2527735e-05 -3.2527735e-05 -3.2527735e-05]
 [ 3.2527735e-05  3.2527735e-05  3.2527735e-05]]",-8.241584030258647,-8.241747294031567,0.00016250665953200757,7.571133888227564e-07
252,252,1260,"[[0.1706232 0.1706232 0.1706232]
 [2.3943768 2.3943768 2.3943768]]","[[-3.59969768e-05 -3.59969768e-05 -3.59969768e-05]
 [ 3.59969768e-05  3.59969768e-05  3.59969768e-05]]",-8.241584032891451,-8.241783953551725,0.00019901947302152013,9.011872523602949e-07
253,253,1265,"[[0.17043456 0.17043456 0.17043456]
 [2.39456544 2.39456544 2.39456544]]","[[-3.94557498e-05 -3.94557498e-05 -3.94557498e-05]
 [ 3.94557498e-05  3.94557498e-05  3.94557498e-05]]",-8.241584035759498,-8.241824197356156,0.00023910250099249168,1.0590956651710998e-06
254,254,1270,"[[0.17022864 0.17022864 0.17022864]
 [2.39477136 2.39477136 2.39477136]]","[[-4.29029112e-05 -4.29029112e-05 -4.29029112e-05]
 [ 4.29029112e-05  4.29029112e-05  4.29029112e-05]]",-8.241584038885428,-8.241867979480615,0.0002827073115929851,1.2332835942227924e-06
255,255,1275,"[[0.17000553 0.17000553 0.17000553]
 [2.39499447 2.39499447 2.39499447]]","[[-4.63373847e-05 -4.63373847e-05 -4.63373847e-05]
 [ 4.63373847e-05  4.63373847e-05  4.63373847e-05]]",-8.241584042275656,-8.241915249839835,0.00032978170100327465,1.4258631749869452e-06
256,256,1280,"[[0.16976527 0.16976527 0.16976527]
 [2.39523473 2.39523473 2.39523473]]","[[-4.97581389e-05 -4.97581389e-05 -4.97581389e-05]
 [ 4.97581389e-05  4.97581389e-05  4.97581389e-05]]",-8.241584045893447,-8.241965954153244,0.00038026974403531787,1.6385157615175265e-06
257,257,1285,"[[0.16950795 0.16950795 0.16950795]
 [2.39549205 2.39549205 2.39549205]]","[[-5.31641519e-05 -5.31641519e-05 -5.31641519e-05]
 [ 5.31641519e-05  5.31641519e-05  5.31641519e-05]]",-8.241584049735451,-8.242020034428673,0.00043411150621826516,1.8731870046362899e-06
258,258,1290,"[[0.16923363 0.16923363 0.16923363]
 [2.39576637 2.39576637 2.39576637]]","[[-5.65544019e-05 -5.65544019e-05 -5.65544019e-05]
 [ 5.65544019e-05  5.65544019e-05  5.65544019e-05]]",-8.241584053800517,-8.24207742906237,0.0004912429658127102,2.1322960399381576e-06
259,259,1295,"[[0.1689424 0.1689424 0.1689424]
 [2.3960576 2.3960576 2.3960576]]","[[-5.9927904e-05 -5.9927904e-05 -5.9927904e-05]
 [ 5.9927904e-05  5.9927904e-05  5.9927904e-05]]",-8.241584058043259,-8.242138072912987,0.0005515967428165154,2.418126911766413e-06
260,260,1300,"[[0.16863435 0.16863435 0.16863435]
 [2.39636565 2.39636565 2.39636565]]","[[-6.32837724e-05 -6.32837724e-05 -6.32837724e-05]
 [ 6.32837724e-05  6.32837724e-05  6.32837724e-05]]",-8.241584062456306,-8.242201897915903,0.0006151035532040614,2.7319063925626615e-06
261,261,1305,"[[0.16830956 0.16830956 0.16830956]
 [2.39669044 2.39669044 2.39669044]]","[[-6.66212603e-05 -6.66212603e-05 -6.66212603e-05]
 [ 6.66212603e-05  6.66212603e-05  6.66212603e-05]]",-8.241584067083956,-8.242268833192956,0.0006816935802863353,3.0725287124368024e-06
262,262,1310,"[[0.16796814 0.16796814 0.16796814]
 [2.39703186 2.39703186 2.39703186]]","[[-6.99397424e-05 -6.99397424e-05 -6.99397424e-05]
 [ 6.99397424e-05  6.99397424e-05  6.99397424e-05]]",-8.241584071950781,-8.242338804422625,0.0007512968598423994,3.4356120006436947e-06
263,263,1315,"[[0.16761017 0.16761017 0.16761017]
 [2.39738983 2.39738983 2.39738983]]","[[-7.32386347e-05 -7.32386347e-05 -7.32386347e-05]
 [ 7.32386347e-05  7.32386347e-05  7.32386347e-05]]",-8.24158407703581,-8.242411733463449,0.000823842126410168,3.814301227980911e-06
264,264,1320,"[[0.16723575 0.16723575 0.16723575]
 [2.39776425 2.39776425 2.39776425]]","[[-7.65172832e-05 -7.65172832e-05 -7.65172832e-05]
 [ 7.65172832e-05  7.65172832e-05  7.65172832e-05]]",-8.241584082294603,-8.24248753866494,0.0008992544590522482,4.201911287095245e-06
265,265,1325,"[[0.16684499 0.16684499 0.16684499]
 [2.39815501 2.39815501 2.39815501]]","[[-7.97748954e-05 -7.97748954e-05 -7.97748954e-05]
 [ 7.97748954e-05  7.97748954e-05  7.97748954e-05]]",-8.24158408770862,-8.242566135527232,0.0009774532690355739,4.59454957560777e-06
266,266,1330,"[[0.166438 0.166438 0.166438]
 [2.398562 2.398562 2.398562]]","[[-8.3010563e-05 -8.3010563e-05 -8.3010563e-05]
 [ 8.3010563e-05  8.3010563e-05  8.3010563e-05]]",-8.241584093297785,-8.242647436966775,0.0010583522456991041,4.9914232904849515e-06
267,267,1335,"[[0.16601489 0.16601489 0.16601489]
 [2.39898511 2.39898511 2.39898511]]","[[-8.62233563e-05 -8.62233563e-05 -8.62233563e-05]
 [ 8.62233563e-05  8.62233563e-05  8.62233563e-05]]",-8.24158409904807,-8.242731353083029,0.0011418613285142417,5.392706442525352e-06
268,268,1340,"[[0.16557577 0.16557577 0.16557577]
 [2.39942423 2.39942423 2.39942423]]","[[-8.94124115e-05 -8.94124115e-05 -8.94124115e-05]
 [ 8.94124115e-05  8.94124115e-05  8.94124115e-05]]",-8.24158410490605,-8.242817791382762,0.0012278890669291248,5.79740978349316e-06
269,269,1345,"[[0.16512076 0.16512076 0.16512076]
 [2.39987924 2.39987924 2.39987924]]","[[-9.25769428e-05 -9.25769428e-05 -9.25769428e-05]
 [ 9.25769428e-05  9.25769428e-05  9.25769428e-05]]",-8.241584110861748,-8.242906657518951,0.0013163433564684522,6.203300735937598e-06
270,270,1350,"[[0.16465 0.16465 0.16465]
 [2.40035 2.40035 2.40035]]","[[-9.57161762e-05 -9.57161762e-05 -9.57161762e-05]
 [ 9.57161762e-05  9.57161762e-05  9.57161762e-05]]",-8.24158411694517,-8.242997855468866,0.0014071299190697207,6.608604626888614e-06
271,271,1355,"[[0.1641636 0.1641636 0.1641636]
 [2.4008364 2.4008364 2.4008364]]","[[-9.88292689e-05 -9.88292689e-05 -9.88292689e-05]
 [ 9.88292689e-05  9.88292689e-05  9.88292689e-05]]",-8.24158412316775,-8.243091287115984,0.0015001499833899924,7.0139648457460196e-06
272,272,1360,"[[0.16366171 0.16366171 0.16366171]
 [2.40133829 2.40133829 2.40133829]]","[[-0.00010192 -0.00010192 -0.00010192]
 [ 0.00010192  0.00010192  0.00010192]]",-8.241584129525757,-8.24318685205732,0.001595299368675879,7.423162887108328e-06
273,273,1365,"[[0.16314445 0.16314445 0.16314445]
 [2.40185555 2.40185555 2.40185555]]","[[-0.00010497 -0.00010497 -0.00010497]
 [ 0.00010497  0.00010497  0.00010497]]",-8.241584136009791,-8.24328444764312,0.0016924700540464032,7.841579282341034e-06
274,274,1370,"[[0.16261197 0.16261197 0.16261197]
 [2.40238803 2.40238803 2.40238803]]","[[-0.000108 -0.000108 -0.000108]
 [ 0.000108  0.000108  0.000108]]",-8.241584142569183,-8.243383969171683,0.0017915535563589333,8.273046141922589e-06
275,275,1375,"[[0.16206443 0.16206443 0.16206443]
 [2.40293557 2.40293557 2.40293557]]","[[-0.000111 -0.000111 -0.000111]
 [ 0.000111  0.000111  0.000111]]",-8.24158414914673,-8.243485310663656,0.0018924439085534497,8.717608372904432e-06
276,276,1380,"[[0.16150196 0.16150196 0.16150196]
 [2.40349804 2.40349804 2.40349804]]","[[-0.00011397 -0.00011397 -0.00011397]
 [ 0.00011397  0.00011397  0.00011397]]",-8.241584155761757,-8.243588365668378,0.0019950378960830887,9.172010538103804e-06
277,277,1385,"[[0.16092472 0.16092472 0.16092472]
 [2.40407528 2.40407528 2.40407528]]","[[-0.00011691 -0.00011691 -0.00011691]
 [ 0.00011691  0.00011691  0.00011691]]",-8.241584162457572,-8.243693027006351,0.0020992325799123104,9.631968866806472e-06
278,278,1390,"[[0.16033286 0.16033286 0.16033286]
 [2.40466714 2.40466714 2.40466714]]","[[-0.00011982 -0.00011982 -0.00011982]
 [ 0.00011982  0.00011982  0.00011982]]",-8.241584169219493,-8.243799186181237,0.0022049226851627948,1.0094276580132734e-05
279,279,1395,"[[0.15972656 0.15972656 0.15972656]
 [2.40527344 2.40527344 2.40527344]]","[[-0.00012269 -0.00012269 -0.00012269]
 [ 0.00012269  0.00012269  0.00012269]]",-8.24158417603245,-8.243906733535672,0.002311999868519246,1.0557634702215733e-05
280,280,1400,"[[0.15910596 0.15910596 0.15910596]
 [2.40589404 2.40589404 2.40589404]]","[[-0.00012553 -0.00012553 -0.00012553]
 [ 0.00012553  0.00012553  0.00012553]]",-8.241584182910028,-8.244015558450645,0.0024203534732486097,1.1022067368257781e-05
281,281,1405,"[[0.15847123 0.15847123 0.15847123]
 [2.40652877 2.40652877 2.40652877]]","[[-0.00012834 -0.00012834 -0.00012834]
 [ 0.00012834  0.00012834  0.00012834]]",-8.241584189832906,-8.244125549208093,0.0025298713835105848,1.1487991676675868e-05
282,282,1410,"[[0.15782254 0.15782254 0.15782254]
 [2.40717746 2.40717746 2.40717746]]","[[-0.00013112 -0.00013112 -0.00013112]
 [ 0.00013112  0.00013112  0.00013112]]",-8.241584196760245,-8.244236593290804,0.002640440281954485,1.1956248603802678e-05
283,283,1415,"[[0.15716007 0.15716007 0.15716007]
 [2.40783993 2.40783993 2.40783993]]","[[-0.00013386 -0.00013386 -0.00013386]
 [ 0.00013386  0.00013386  0.00013386]]",-8.241584203673103,-8.244348577971486,0.002751945670550356,1.2428627833880078e-05
284,284,1420,"[[0.15648398 0.15648398 0.15648398]
 [2.40851602 2.40851602 2.40851602]]","[[-0.00013656 -0.00013656 -0.00013656]
 [ 0.00013656  0.00013656  0.00013656]]",-8.241584210524897,-8.244461390690878,0.002864272378479603,1.2907787502169637e-05
285,285,1425,"[[0.15579446 0.15579446 0.15579446]
 [2.40920554 2.40920554 2.40920554]]","[[-0.00013923 -0.00013923 -0.00013923]
 [ 0.00013923  0.00013923  0.00013923]]",-8.241584217295639,-8.244574919731317,0.002977305365072249,1.3397070607356849e-05
286,286,1430,"[[0.15509169 0.15509169 0.15509169]
 [2.40990831 2.40990831 2.40990831]]","[[-0.00014186 -0.00014186 -0.00014186]
 [ 0.00014186  0.00014186  0.00014186]]",-8.241584224068728,-8.244689054422889,0.0030909297218699914,1.390063229133098e-05
287,287,1435,"[[0.15437585 0.15437585 0.15437585]
 [2.41062415 2.41062415 2.41062415]]","[[-0.00014446 -0.00014446 -0.00014446]
 [ 0.00014446  0.00014446  0.00014446]]",-8.241584230896075,-8.244803683963669,0.003205029632273213,1.4423435321106188e-05
288,288,1440,"[[0.15364713 0.15364713 0.15364713]
 [2.41135287 2.41135287 2.41135287]]","[[-0.00014701 -0.00014701 -0.00014701]
 [ 0.00014701  0.00014701  0.00014701]]",-8.241584237707755,-8.244918696682486,0.0033194877112118167,1.4971263519156841e-05
289,289,1445,"[[0.15290573 0.15290573 0.15290573]
 [2.41209427 2.41209427 2.41209427]]","[[-0.00014953 -0.00014953 -0.00014953]
 [ 0.00014953  0.00014953  0.00014953]]",-8.241584244432897,-8.245033981006515,0.003434186584420058,1.5549989198479862e-05
290,290,1450,"[[0.15215183 0.15215183 0.15215183]
 [2.41284817 2.41284817 2.41284817]]","[[-0.00015201 -0.00015201 -0.00015201]
 [ 0.00015201  0.00015201  0.00015201]]",-8.241584251055189,-8.245149426555761,0.003549013140816049,1.616235975591371e-05
291,291,1455,"[[0.15138563 0.15138563 0.15138563]
 [2.41361437 2.41361437 2.41361437]]","[[-0.00015445 -0.00015445 -0.00015445]
 [ 0.00015445  0.00015445  0.00015445]]",-8.241584257587212,-8.245264924438708,0.0036638631530584156,1.680369843792371e-05
292,292,1460,"[[0.15060733 0.15060733 0.15060733]
 [2.41439267 2.41439267 2.41439267]]","[[-0.00015685 -0.00015685 -0.00015685]
 [ 0.00015685  0.00015685  0.00015685]]",-8.24158426405675,-8.245380367060125,0.003778642435463488,1.7460567912918473e-05
293,293,1465,"[[0.14981712 0.14981712 0.14981712]
 [2.41518288 2.41518288 2.41518288]]","[[-0.00015921 -0.00015921 -0.00015921]
 [ 0.00015921  0.00015921  0.00015921]]",-8.241584270466163,-8.24549564772741,0.0038932631498668096,1.811411138003054e-05
294,294,1470,"[[0.14901521 0.14901521 0.14901521]
 [2.41598479 2.41598479 2.41598479]]","[[-0.00016153 -0.00016153 -0.00016153]
 [ 0.00016153  0.00016153  0.00016153]]",-8.241584276806682,-8.245610660580287,0.0040076379998198,1.8745773784300426e-05
295,295,1475,"[[0.14820179 0.14820179 0.14820179]
 [2.41679821 2.41679821 2.41679821]]","[[-0.00016382 -0.00016382 -0.00016382]
 [ 0.00016382  0.00016382  0.00016382]]",-8.24158428309145,-8.245725300684118,0.004121675951451539,1.9341641216484616e-05
296,296,1480,"[[0.14737705 0.14737705 0.14737705]
 [2.41762295 2.41762295 2.41762295]]","[[-0.00016606 -0.00016606 -0.00016606]
 [ 0.00016606  0.00016606  0.00016606]]",-8.241584289301837,-8.245839463883145,0.004235280868852303,1.9893712454321068e-05
297,297,1485,"[[0.14654121 0.14654121 0.14654121]
 [2.41845879 2.41845879 2.41845879]]","[[-0.00016826 -0.00016826 -0.00016826]
 [ 0.00016826  0.00016826  0.00016826]]",-8.2415842953871,-8.245953047103473,0.004348352399181552,2.039931719259241e-05
298,298,1490,"[[0.14569445 0.14569445 0.14569445]
 [2.41930555 2.41930555 2.41930555]]","[[-0.00017042 -0.00017042 -0.00017042]
 [ 0.00017042  0.00017042  0.00017042]]",-8.241584301334237,-8.246065949095374,0.0044607874410311195,2.0860320105474083e-05
299,299,1495,"[[0.14483699 0.14483699 0.14483699]
 [2.42016301 2.42016301 2.42016301]]","[[-0.00017254 -0.00017254 -0.00017254]
 [ 0.00017254  0.00017254  0.00017254]]",-8.241584307144747,-8.246178070689778,0.004572480684574694,2.1282860457140703e-05
