,i,v,x,E,EKS,ekin,t
511,511,"[[ 6.55487026e-05  6.55487026e-05  6.55487026e-05]
 [-6.55487026e-05 -6.55487026e-05 -6.55487026e-05]]","[[0.00461161 0.00461161 0.00461161]
 [2.56038839 2.56038839 2.56038839]]",-8.241591121132972,-8.242251041779957,0.0006599206469849199,2555
512,512,"[[ 6.78584577e-05  6.78584577e-05  6.78584577e-05]
 [-6.78584577e-05 -6.78584577e-05 -6.78584577e-05]]","[[0.00494513 0.00494513 0.00494513]
 [2.56005487 2.56005487 2.56005487]]",-8.241591113292579,-8.242298360897742,0.00070724760516316,2560
513,513,"[[ 7.01616075e-05  7.01616075e-05  7.01616075e-05]
 [-7.01616075e-05 -7.01616075e-05 -7.01616075e-05]]","[[0.00529019 0.00529019 0.00529019]
 [2.55970981 2.55970981 2.55970981]]",-8.241591115112728,-8.24234718610915,0.0007560709964211717,2565
514,514,"[[ 7.24583506e-05  7.24583506e-05  7.24583506e-05]
 [-7.24583506e-05 -7.24583506e-05 -7.24583506e-05]]","[[0.00564675 0.00564675 0.00564675]
 [2.55935325 2.55935325 2.55935325]]",-8.241591113121547,-8.242397494339425,0.0008063812178771047,2570
515,515,"[[ 7.47484207e-05  7.47484207e-05  7.47484207e-05]
 [-7.47484207e-05 -7.47484207e-05 -7.47484207e-05]]","[[0.00601477 0.00601477 0.00601477]
 [2.55898523 2.55898523 2.55898523]]",-8.241591114019323,-8.2424492726197,0.0008581586003762196,2575
516,516,"[[ 7.70311886e-05  7.70311886e-05  7.70311886e-05]
 [-7.70311886e-05 -7.70311886e-05 -7.70311886e-05]]","[[0.00639423 0.00639423 0.00639423]
 [2.55860577 2.55860577 2.55860577]]",-8.241591122834494,-8.242502497001363,0.0009113741668693199,2580
517,517,"[[ 7.9306811e-05  7.9306811e-05  7.9306811e-05]
 [-7.9306811e-05 -7.9306811e-05 -7.9306811e-05]]","[[0.00678509 0.00678509 0.00678509]
 [2.55821491 2.55821491 2.55821491]]",-8.24159113193849,-8.242557148318127,0.0009660163796376516,2585
518,518,"[[ 8.1575066e-05  8.1575066e-05  8.1575066e-05]
 [-8.1575066e-05 -8.1575066e-05 -8.1575066e-05]]","[[0.0071873 0.0071873 0.0071873]
 [2.5578127 2.5578127 2.5578127]]",-8.241591141289524,-8.242613205978154,0.0010220646886295948,2590
519,519,"[[ 8.38357042e-05  8.38357042e-05  8.38357042e-05]
 [-8.38357042e-05 -8.38357042e-05 -8.38357042e-05]]","[[0.00760084 0.00760084 0.00760084]
 [2.55739916 2.55739916 2.55739916]]",-8.24159115120453,-8.242670648478205,0.0010794972736748718,2595
520,520,"[[ 8.60884907e-05  8.60884907e-05  8.60884907e-05]
 [-8.60884907e-05 -8.60884907e-05 -8.60884907e-05]]","[[0.00802566 0.00802566 0.00802566]
 [2.55697434 2.55697434 2.55697434]]",-8.241591161696153,-8.242729453750785,0.0011382920546326295,2600
521,521,"[[ 8.83331888e-05  8.83331888e-05  8.83331888e-05]
 [-8.83331888e-05 -8.83331888e-05 -8.83331888e-05]]","[[0.00846172 0.00846172 0.00846172]
 [2.55653828 2.55653828 2.55653828]]",-8.241591172763794,-8.242789599069685,0.0011984263058912985,2605
522,522,"[[ 9.05695621e-05  9.05695621e-05  9.05695621e-05]
 [-9.05695621e-05 -9.05695621e-05 -9.05695621e-05]]","[[0.00890899 0.00890899 0.00890899]
 [2.55609101 2.55609101 2.55609101]]",-8.241591184373888,-8.242851061097092,0.0012598767232041184,2610
523,523,"[[ 9.27973691e-05  9.27973691e-05  9.27973691e-05]
 [-9.27973691e-05 -9.27973691e-05 -9.27973691e-05]]","[[0.00936742 0.00936742 0.00936742]
 [2.55563258 2.55563258 2.55563258]]",-8.241591196575902,-8.242913815840733,0.0013226192648314674,2615
524,524,"[[ 9.50163683e-05  9.50163683e-05  9.50163683e-05]
 [-9.50163683e-05 -9.50163683e-05 -9.50163683e-05]]","[[0.00983696 0.00983696 0.00983696]
 [2.55516304 2.55516304 2.55516304]]",-8.241591209390691,-8.242977838681995,0.001386629291304454,2620
525,525,"[[ 9.72263161e-05  9.72263161e-05  9.72263161e-05]
 [-9.72263161e-05 -9.72263161e-05 -9.72263161e-05]]","[[0.01031758 0.01031758 0.01031758]
 [2.55468242 2.55468242 2.55468242]]",-8.241591222852202,-8.243043104373543,0.001451881521340415,2625
526,526,"[[ 9.94269678e-05  9.94269678e-05  9.94269678e-05]
 [-9.94269678e-05 -9.94269678e-05 -9.94269678e-05]]","[[0.01080923 0.01080923 0.01080923]
 [2.55419077 2.55419077 2.55419077]]",-8.241591236987343,-8.243109587031665,0.0015183500443216608,2630
527,527,"[[ 0.00010162  0.00010162  0.00010162]
 [-0.00010162 -0.00010162 -0.00010162]]","[[0.01131185 0.01131185 0.01131185]
 [2.55368815 2.55368815 2.55368815]]",-8.241591251820498,-8.243177260140309,0.0015860083198105434,2635
528,528,"[[ 0.0001038  0.0001038  0.0001038]
 [-0.0001038 -0.0001038 -0.0001038]]","[[0.01182541 0.01182541 0.01182541]
 [2.55317459 2.55317459 2.55317459]]",-8.241591267315902,-8.24324609655213,0.001654829236228712,2640
529,529,"[[ 0.00010597  0.00010597  0.00010597]
 [-0.00010597 -0.00010597 -0.00010597]]","[[0.01234984 0.01234984 0.01234984]
 [2.55265016 2.55265016 2.55265016]]",-8.241591283531971,-8.243316068498824,0.0017247849668537976,2645
530,530,"[[ 0.00010813  0.00010813  0.00010813]
 [-0.00010813 -0.00010813 -0.00010813]]","[[0.01288511 0.01288511 0.01288511]
 [2.55211489 2.55211489 2.55211489]]",-8.241591300473164,-8.24338714756942,0.0017958470962553584,2650
531,531,"[[ 0.00011028  0.00011028  0.00011028]
 [-0.00011028 -0.00011028 -0.00011028]]","[[0.01343116 0.01343116 0.01343116]
 [2.55156884 2.55156884 2.55156884]]",-8.241591318158108,-8.24345930473806,0.0018679865799530752,2655
532,532,"[[ 0.00011242  0.00011242  0.00011242]
 [-0.00011242 -0.00011242 -0.00011242]]","[[0.01398793 0.01398793 0.01398793]
 [2.55101207 2.55101207 2.55101207]]",-8.241591336581948,-8.243532510345636,0.0019411737636874696,2660
533,533,"[[ 0.00011455  0.00011455  0.00011455]
 [-0.00011455 -0.00011455 -0.00011455]]","[[0.01455538 0.01455538 0.01455538]
 [2.55044462 2.55044462 2.55044462]]",-8.241591355732652,-8.243606734119757,0.0020153783871039964,2665
534,534,"[[ 0.00011667  0.00011667  0.00011667]
 [-0.00011667 -0.00011667 -0.00011667]]","[[0.01513344 0.01513344 0.01513344]
 [2.54986656 2.54986656 2.54986656]]",-8.2415913757144,-8.24368194515203,0.0020905694376303547,2670
535,535,"[[ 0.00011877  0.00011877  0.00011877]
 [-0.00011877 -0.00011877 -0.00011877]]","[[0.01572206 0.01572206 0.01572206]
 [2.54927794 2.54927794 2.54927794]]",-8.241591396524782,-8.243758111920602,0.002166715395819264,2675
536,536,"[[ 0.00012087  0.00012087  0.00012087]
 [-0.00012087 -0.00012087 -0.00012087]]","[[0.01632117 0.01632117 0.01632117]
 [2.54867883 2.54867883 2.54867883]]",-8.241591418172519,-8.243835202296296,0.002243784123776596,2680
537,537,"[[ 0.00012295  0.00012295  0.00012295]
 [-0.00012295 -0.00012295 -0.00012295]]","[[0.01693073 0.01693073 0.01693073]
 [2.54806927 2.54806927 2.54806927]]",-8.241591440662221,-8.243913183519494,0.0023217428572730927,2685
538,538,"[[ 0.00012502  0.00012502  0.00012502]
 [-0.00012502 -0.00012502 -0.00012502]]","[[0.01755066 0.01755066 0.01755066]
 [2.54744934 2.54744934 2.54744934]]",-8.241591464030535,-8.243992022231849,0.0024005582013139045,2690
539,539,"[[ 0.00012708  0.00012708  0.00012708]
 [-0.00012708 -0.00012708 -0.00012708]]","[[0.01818091 0.01818091 0.01818091]
 [2.54681909 2.54681909 2.54681909]]",-8.24159148829588,-8.244071684452615,0.002480196156735633,2695
540,540,"[[ 0.00012912  0.00012912  0.00012912]
 [-0.00012912 -0.00012912 -0.00012912]]","[[0.01882142 0.01882142 0.01882142]
 [2.54617858 2.54617858 2.54617858]]",-8.241591513413105,-8.24415213561504,0.0025606222019353203,2700
541,541,"[[ 0.00013115  0.00013115  0.00013115]
 [-0.00013115 -0.00013115 -0.00013115]]","[[0.01947211 0.01947211 0.01947211]
 [2.54552789 2.54552789 2.54552789]]",-8.24159153943262,-8.244233340540065,0.0026418011074460525,2705
542,542,"[[ 0.00013317  0.00013317  0.00013317]
 [-0.00013317 -0.00013317 -0.00013317]]","[[0.02013292 0.02013292 0.02013292]
 [2.54486708 2.54486708 2.54486708]]",-8.24159156645005,-8.244315263449167,0.0027236969991173737,2710
543,543,"[[ 0.00013517  0.00013517  0.00013517]
 [-0.00013517 -0.00013517 -0.00013517]]","[[0.02080378 0.02080378 0.02080378]
 [2.54419622 2.54419622 2.54419622]]",-8.241591594429456,-8.244397867977657,0.0028062735482001916,2715
544,544,"[[ 0.00013716  0.00013716  0.00013716]
 [-0.00013716 -0.00013716 -0.00013716]]","[[0.02148463 0.02148463 0.02148463]
 [2.54351537 2.54351537 2.54351537]]",-8.24159162332207,-8.244481117168911,0.002889493846841533,2720
545,545,"[[ 0.00013914  0.00013914  0.00013914]
 [-0.00013914 -0.00013914 -0.00013914]]","[[0.02217538 0.02217538 0.02217538]
 [2.54282462 2.54282462 2.54282462]]",-8.241591653174114,-8.244564973485197,0.0029733203110828047,2725
546,546,"[[ 0.0001411  0.0001411  0.0001411]
 [-0.0001411 -0.0001411 -0.0001411]]","[[0.02287598 0.02287598 0.02287598]
 [2.54212402 2.54212402 2.54212402]]",-8.241591684004625,-8.244649398821679,0.003057714817054332,2730
547,547,"[[ 0.00014304  0.00014304  0.00014304]
 [-0.00014304 -0.00014304 -0.00014304]]","[[0.02358635 0.02358635 0.02358635]
 [2.54141365 2.54141365 2.54141365]]",-8.241591715851143,-8.244734354487981,0.0031426386368380585,2735
548,548,"[[ 0.00014497  0.00014497  0.00014497]
 [-0.00014497 -0.00014497 -0.00014497]]","[[0.02430641 0.02430641 0.02430641]
 [2.54069359 2.54069359 2.54069359]]",-8.241591748761133,-8.244819801234524,0.0032280524733908607,2740
549,549,"[[ 0.00014689  0.00014689  0.00014689]
 [-0.00014689 -0.00014689 -0.00014689]]","[[0.02503609 0.02503609 0.02503609]
 [2.53996391 2.53996391 2.53996391]]",-8.241591782720967,-8.244905699250994,0.003313916530028033,2745
550,550,"[[ 0.00014879  0.00014879  0.00014879]
 [-0.00014879 -0.00014879 -0.00014879]]","[[0.0257753 0.0257753 0.0257753]
 [2.5392247 2.5392247 2.5392247]]",-8.241591817725812,-8.244992008174815,0.003400190449003296,2750
551,551,"[[ 0.00015067  0.00015067  0.00015067]
 [-0.00015067 -0.00015067 -0.00015067]]","[[0.02652397 0.02652397 0.02652397]
 [2.53847603 2.53847603 2.53847603]]",-8.241591853819454,-8.245078687108377,0.0034868332889232377,2755
552,552,"[[ 0.00015254  0.00015254  0.00015254]
 [-0.00015254 -0.00015254 -0.00015254]]","[[0.02728202 0.02728202 0.02728202]
 [2.53771798 2.53771798 2.53771798]]",-8.241591891054403,-8.24516569460955,0.0035738035551464635,2760
553,553,"[[ 0.00015439  0.00015439  0.00015439]
 [-0.00015439 -0.00015439 -0.00015439]]","[[0.02804937 0.02804937 0.02804937]
 [2.53695063 2.53695063 2.53695063]]",-8.241591929418634,-8.245252988706946,0.0036610592883129134,2765
554,554,"[[ 0.00015622  0.00015622  0.00015622]
 [-0.00015622 -0.00015622 -0.00015622]]","[[0.02882593 0.02882593 0.02882593]
 [2.53617407 2.53617407 2.53617407]]",-8.241591968907887,-8.245340526919925,0.0037485580120382857,2770
555,555,"[[ 0.00015804  0.00015804  0.00015804]
 [-0.00015804 -0.00015804 -0.00015804]]","[[0.02961162 0.02961162 0.02961162]
 [2.53538838 2.53538838 2.53538838]]",-8.241592009517667,-8.245428266249013,0.0038362567313449977,2775
556,556,"[[ 0.00015984  0.00015984  0.00015984]
 [-0.00015984 -0.00015984 -0.00015984]]","[[0.03040635 0.03040635 0.03040635]
 [2.53459365 2.53459365 2.53459365]]",-8.241592051236143,-8.245516163209999,0.003924111973855602,2780
557,557,"[[ 0.00016162  0.00016162  0.00016162]
 [-0.00016162 -0.00016162 -0.00016162]]","[[0.03121003 0.03121003 0.03121003]
 [2.53378997 2.53378997 2.53378997]]",-8.241592094132422,-8.245604173814337,0.004012079681915441,2785
558,558,"[[ 0.00016339  0.00016339  0.00016339]
 [-0.00016339 -0.00016339 -0.00016339]]","[[0.03202258 0.03202258 0.03202258]
 [2.53297742 2.53297742 2.53297742]]",-8.241592138214791,-8.245692253602158,0.004100115387366891,2790
559,559,"[[ 0.00016513  0.00016513  0.00016513]
 [-0.00016513 -0.00016513 -0.00016513]]","[[0.0328439 0.0328439 0.0328439]
 [2.5321561 2.5321561 2.5321561]]",-8.241592183506917,-8.24578035764915,0.004188174142232523,2795
560,560,"[[ 0.00016686  0.00016686  0.00016686]
 [-0.00016686 -0.00016686 -0.00016686]]","[[0.0336739 0.0336739 0.0336739]
 [2.5313261 2.5313261 2.5313261]]",-8.24159223003324,-8.245868440572693,0.004276210539454176,2800
561,561,"[[ 0.00016857  0.00016857  0.00016857]
 [-0.00016857 -0.00016857 -0.00016857]]","[[0.03451248 0.03451248 0.03451248]
 [2.53048752 2.53048752 2.53048752]]",-8.241592261927694,-8.245956457999895,0.004364196072200793,2805
562,562,"[[ 0.00017026  0.00017026  0.00017026]
 [-0.00017026 -0.00017026 -0.00017026]]","[[0.03535956 0.03535956 0.03535956]
 [2.52964044 2.52964044 2.52964044]]",-8.241592270143363,-8.246044361130497,0.004452090987134281,2810
563,563,"[[ 0.00017192  0.00017192  0.00017192]
 [-0.00017192 -0.00017192 -0.00017192]]","[[0.03621503 0.03621503 0.03621503]
 [2.52878497 2.52878497 2.52878497]]",-8.241592273144681,-8.246132104907815,0.004539831763133478,2815
564,564,"[[ 0.00017357  0.00017357  0.00017357]
 [-0.00017357 -0.00017357 -0.00017357]]","[[0.03707881 0.03707881 0.03707881]
 [2.52792119 2.52792119 2.52792119]]",-8.241592276437016,-8.246219642170871,0.004627365733855354,2820
565,565,"[[ 0.0001752  0.0001752  0.0001752]
 [-0.0001752 -0.0001752 -0.0001752]]","[[0.03795078 0.03795078 0.03795078]
 [2.52704922 2.52704922 2.52704922]]",-8.24159227985651,-8.246306925500733,0.004714645644223019,2825
566,566,"[[ 0.00017681  0.00017681  0.00017681]
 [-0.00017681 -0.00017681 -0.00017681]]","[[0.03883084 0.03883084 0.03883084]
 [2.52616916 2.52616916 2.52616916]]",-8.241592283434208,-8.246393907057833,0.004801623623624023,2830
567,567,"[[ 0.0001784  0.0001784  0.0001784]
 [-0.0001784 -0.0001784 -0.0001784]]","[[0.0397189 0.0397189 0.0397189]
 [2.5252811 2.5252811 2.5252811]]",-8.241592287173692,-8.246480538672927,0.0048882514992341615,2835
568,568,"[[ 0.00017997  0.00017997  0.00017997]
 [-0.00017997 -0.00017997 -0.00017997]]","[[0.04061484 0.04061484 0.04061484]
 [2.52438516 2.52438516 2.52438516]]",-8.241592291091402,-8.246566771829386,0.004974480737983078,2840
569,569,"[[ 0.00018151  0.00018151  0.00018151]
 [-0.00018151 -0.00018151 -0.00018151]]","[[0.04151856 0.04151856 0.04151856]
 [2.52348144 2.52348144 2.52348144]]",-8.241592295180634,-8.246652557695578,0.00506026251494392,2845
570,570,"[[ 0.00018303  0.00018303  0.00018303]
 [-0.00018303 -0.00018303 -0.00018303]]","[[0.04242996 0.04242996 0.04242996]
 [2.52257004 2.52257004 2.52257004]]",-8.241592299457047,-8.246737847144624,0.0051455476875783435,2850
571,571,"[[ 0.00018454  0.00018454  0.00018454]
 [-0.00018454 -0.00018454 -0.00018454]]","[[0.04334891 0.04334891 0.04334891]
 [2.52165109 2.52165109 2.52165109]]",-8.241592303920626,-8.246822590770385,0.005230286849759993,2855
572,572,"[[ 0.00018601  0.00018601  0.00018601]
 [-0.00018601 -0.00018601 -0.00018601]]","[[0.04427532 0.04427532 0.04427532]
 [2.52072468 2.52072468 2.52072468]]",-8.241592308561094,-8.246906738905235,0.0053144303441403406,2860
573,573,"[[ 0.00018747  0.00018747  0.00018747]
 [-0.00018747 -0.00018747 -0.00018747]]","[[0.04520906 0.04520906 0.04520906]
 [2.51979094 2.51979094 2.51979094]]",-8.241592313403137,-8.246990241649671,0.0053979282465335746,2865
574,574,"[[ 0.0001889  0.0001889  0.0001889]
 [-0.0001889 -0.0001889 -0.0001889]]","[[0.04615002 0.04615002 0.04615002]
 [2.51884998 2.51884998 2.51884998]]",-8.241592318446063,-8.24707304888482,0.0054807304387576965,2870
575,575,"[[ 0.00019031  0.00019031  0.00019031]
 [-0.00019031 -0.00019031 -0.00019031]]","[[0.04709808 0.04709808 0.04709808]
 [2.51790192 2.51790192 2.51790192]]",-8.241592323694636,-8.247155110297475,0.005562786602839133,2875
576,576,"[[ 0.0001917  0.0001917  0.0001917]
 [-0.0001917 -0.0001917 -0.0001917]]","[[0.04805313 0.04805313 0.04805313]
 [2.51694687 2.51694687 2.51694687]]",-8.241592329137884,-8.247236375412156,0.005644046274272427,2880
577,577,"[[ 0.00019306  0.00019306  0.00019306]
 [-0.00019306 -0.00019306 -0.00019306]]","[[0.04901504 0.04901504 0.04901504]
 [2.51598496 2.51598496 2.51598496]]",-8.241592334787235,-8.247316793606727,0.005724458819491983,2885
578,578,"[[ 0.00019439  0.00019439  0.00019439]
 [-0.00019439 -0.00019439 -0.00019439]]","[[0.0499837 0.0499837 0.0499837]
 [2.5150163 2.5150163 2.5150163]]",-8.24159234066518,-8.247396314142378,0.0058039734771985225,2890
579,579,"[[ 0.0001957  0.0001957  0.0001957]
 [-0.0001957 -0.0001957 -0.0001957]]","[[0.05095898 0.05095898 0.05095898]
 [2.51404102 2.51404102 2.51404102]]",-8.241592346748918,-8.247474886172721,0.0058825394238027386,2895
580,580,"[[ 0.00019699  0.00019699  0.00019699]
 [-0.00019699 -0.00019699 -0.00019699]]","[[0.05194075 0.05194075 0.05194075]
 [2.51305925 2.51305925 2.51305925]]",-8.241592353044512,-8.247552458802284,0.005960105757772239,2900
581,581,"[[ 0.00019825  0.00019825  0.00019825]
 [-0.00019825 -0.00019825 -0.00019825]]","[[0.05292888 0.05292888 0.05292888]
 [2.51207112 2.51207112 2.51207112]]",-8.24159235955562,-8.247628981092042,0.006036621536421455,2905
582,582,"[[ 0.00019949  0.00019949  0.00019949]
 [-0.00019949 -0.00019949 -0.00019949]]","[[0.05392325 0.05392325 0.05392325]
 [2.51107675 2.51107675 2.51107675]]",-8.241592366262735,-8.24770440208915,0.0061120358264154856,2910
583,583,"[[ 0.00020069  0.00020069  0.00020069]
 [-0.00020069 -0.00020069 -0.00020069]]","[[0.05492374 0.05492374 0.05492374]
 [2.51007626 2.51007626 2.51007626]]",-8.2415923731967,-8.247778670861933,0.006186297665234403,2915
584,584,"[[ 0.00020188  0.00020188  0.00020188]
 [-0.00020188 -0.00020188 -0.00020188]]","[[0.05593019 0.05593019 0.05593019]
 [2.50906981 2.50906981 2.50906981]]",-8.241592380391808,-8.247851736528357,0.006259356136548872,2920
585,585,"[[ 0.00020303  0.00020303  0.00020303]
 [-0.00020303 -0.00020303 -0.00020303]]","[[0.05694249 0.05694249 0.05694249]
 [2.50805751 2.50805751 2.50805751]]",-8.241592387814702,-8.247923548293954,0.006331160479251552,2925
586,586,"[[ 0.00020416  0.00020416  0.00020416]
 [-0.00020416 -0.00020416 -0.00020416]]","[[0.05796049 0.05796049 0.05796049]
 [2.50703951 2.50703951 2.50703951]]",-8.241592395452322,-8.247994055469633,0.006401660017309946,2930
587,587,"[[ 0.00020526  0.00020526  0.00020526]
 [-0.00020526 -0.00020526 -0.00020526]]","[[0.05898406 0.05898406 0.05898406]
 [2.50601594 2.50601594 2.50601594]]",-8.241592403319558,-8.248063207514534,0.006470804194975528,2935
588,588,"[[ 0.00020633  0.00020633  0.00020633]
 [-0.00020633 -0.00020633 -0.00020633]]","[[0.06001306 0.06001306 0.06001306]
 [2.50498694 2.50498694 2.50498694]]",-8.241592411416343,-8.248130954067472,0.006538542651127587,2940
589,589,"[[ 0.00020737  0.00020737  0.00020737]
 [-0.00020737 -0.00020737 -0.00020737]]","[[0.06104734 0.06104734 0.06104734]
 [2.50395266 2.50395266 2.50395266]]",-8.241592419751218,-8.248197244985867,0.006604825234648951,2945
590,590,"[[ 0.00020839  0.00020839  0.00020839]
 [-0.00020839 -0.00020839 -0.00020839]]","[[0.06208677 0.06208677 0.06208677]
 [2.50291323 2.50291323 2.50291323]]",-8.241592428320278,-8.248262030385263,0.0066696020649855085,2950
591,591,"[[ 0.00020937  0.00020937  0.00020937]
 [-0.00020937 -0.00020937 -0.00020937]]","[[0.0631312 0.0631312 0.0631312]
 [2.5018688 2.5018688 2.5018688]]",-8.241592437107101,-8.248325260658563,0.006732823551461245,2955
592,592,"[[ 0.00021033  0.00021033  0.00021033]
 [-0.00021033 -0.00021033 -0.00021033]]","[[0.06418048 0.06418048 0.06418048]
 [2.50081952 2.50081952 2.50081952]]",-8.241592446136213,-8.248386886529655,0.006794440393442695,2960
593,593,"[[ 0.00021125  0.00021125  0.00021125]
 [-0.00021125 -0.00021125 -0.00021125]]","[[0.06523447 0.06523447 0.06523447]
 [2.49976553 2.49976553 2.49976553]]",-8.241592455421866,-8.248446859084652,0.00685440366278608,2965
594,594,"[[ 0.00021215  0.00021215  0.00021215]
 [-0.00021215 -0.00021215 -0.00021215]]","[[0.06629301 0.06629301 0.06629301]
 [2.49870699 2.49870699 2.49870699]]",-8.241592464949074,-8.248505129816223,0.006912664867148898,2970
595,595,"[[ 0.00021301  0.00021301  0.00021301]
 [-0.00021301 -0.00021301 -0.00021301]]","[[0.06735596 0.06735596 0.06735596]
 [2.49764404 2.49764404 2.49764404]]",-8.241592474694043,-8.248561650662452,0.0069691759684093165,2975
596,596,"[[ 0.00021385  0.00021385  0.00021385]
 [-0.00021385 -0.00021385 -0.00021385]]","[[0.06842316 0.06842316 0.06842316]
 [2.49657684 2.49657684 2.49657684]]",-8.241592484655376,-8.248616374043232,0.007023889387855981,2980
597,597,"[[ 0.00021465  0.00021465  0.00021465]
 [-0.00021465 -0.00021465 -0.00021465]]","[[0.06949445 0.06949445 0.06949445]
 [2.49550555 2.49550555 2.49550555]]",-8.241592494857091,-8.248669252908053,0.007076758050962646,2985
598,598,"[[ 0.00021542  0.00021542  0.00021542]
 [-0.00021542 -0.00021542 -0.00021542]]","[[0.07056968 0.07056968 0.07056968]
 [2.49443032 2.49443032 2.49443032]]",-8.241592505299131,-8.248720240775633,0.00712773547650101,2990
599,599,"[[ 0.00021616  0.00021616  0.00021616]
 [-0.00021616 -0.00021616 -0.00021616]]","[[0.07164869 0.07164869 0.07164869]
 [2.49335131 2.49335131 2.49335131]]",-8.241592515976006,-8.248769291785923,0.007176775809917905,2995
600,600,"[[ 0.00021687  0.00021687  0.00021687]
 [-0.00021687 -0.00021687 -0.00021687]]","[[0.07273132 0.07273132 0.07273132]
 [2.49226868 2.49226868 2.49226868]]",-8.241592526868505,-8.248816360730107,0.007223833861601127,3000
601,601,"[[ 0.00021755  0.00021755  0.00021755]
 [-0.00021755 -0.00021755 -0.00021755]]","[[0.0738174 0.0738174 0.0738174]
 [2.4911826 2.4911826 2.4911826]]",-8.241592537971808,-8.248861403109387,0.007268865137578839,3005
602,602,"[[ 0.00021819  0.00021819  0.00021819]
 [-0.00021819 -0.00021819 -0.00021819]]","[[0.07490678 0.07490678 0.07490678]
 [2.49009322 2.49009322 2.49009322]]",-8.241592549307668,-8.248904375170259,0.007311825862590349,3010
603,603,"[[ 0.0002188  0.0002188  0.0002188]
 [-0.0002188 -0.0002188 -0.0002188]]","[[0.07599928 0.07599928 0.07599928]
 [2.48900072 2.48900072 2.48900072]]",-8.241592560873084,-8.248945233954771,0.007352673081686667,3015
604,604,"[[ 0.00021937  0.00021937  0.00021937]
 [-0.00021937 -0.00021937 -0.00021937]]","[[0.07709475 0.07709475 0.07709475]
 [2.48790525 2.48790525 2.48790525]]",-8.241592572662654,-8.248983937353437,0.007391364690783319,3020
605,605,"[[ 0.00021991  0.00021991  0.00021991]
 [-0.00021991 -0.00021991 -0.00021991]]","[[0.078193 0.078193 0.078193]
 [2.486807 2.486807 2.486807]]",-8.2415925846964,-8.24902044415304,0.007427859456639281,3025
606,606,"[[ 0.00022042  0.00022042  0.00022042]
 [-0.00022042 -0.00022042 -0.00022042]]","[[0.07929387 0.07929387 0.07929387]
 [2.48570613 2.48570613 2.48570613]]",-8.241592596955746,-8.24905471407288,0.00746211711713399,3030
607,607,"[[ 0.00022089  0.00022089  0.00022089]
 [-0.00022089 -0.00022089 -0.00022089]]","[[0.08039719 0.08039719 0.08039719]
 [2.48460281 2.48460281 2.48460281]]",-8.241592609412976,-8.249086707840728,0.007494098427751981,3035
608,608,"[[ 0.00022133  0.00022133  0.00022133]
 [-0.00022133 -0.00022133 -0.00022133]]","[[0.08150278 0.08150278 0.08150278]
 [2.48349722 2.48349722 2.48349722]]",-8.241592622066419,-8.24911638720628,0.007523765139862025,3040
609,609,"[[ 0.00022173  0.00022173  0.00022173]
 [-0.00022173 -0.00022173 -0.00022173]]","[[0.08261047 0.08261047 0.08261047]
 [2.48238953 2.48238953 2.48238953]]",-8.24159263497901,-8.249143715019617,0.007551080040606437,3045
610,610,"[[ 0.00022209  0.00022209  0.00022209]
 [-0.00022209 -0.00022209 -0.00022209]]","[[0.08372007 0.08372007 0.08372007]
 [2.48127993 2.48127993 2.48127993]]",-8.24159264813087,-8.249168655270312,0.00757600713944091,3050
611,611,"[[ 0.00022242  0.00022242  0.00022242]
 [-0.00022242 -0.00022242 -0.00022242]]","[[0.08483142 0.08483142 0.08483142]
 [2.48016858 2.48016858 2.48016858]]",-8.241592661464983,-8.249191173152138,0.007598511687155482,3055
612,612,"[[ 0.00022272  0.00022272  0.00022272]
 [-0.00022272 -0.00022272 -0.00022272]]","[[0.08594432 0.08594432 0.08594432]
 [2.47905568 2.47905568 2.47905568]]",-8.241592674966576,-8.249211235095334,0.007618560128758406,3060
613,613,"[[ 0.00022297  0.00022297  0.00022297]
 [-0.00022297 -0.00022297 -0.00022297]]","[[0.08705859 0.08705859 0.08705859]
 [2.47794141 2.47794141 2.47794141]]",-8.241592688652226,-8.249228808835458,0.007636120183232238,3065
614,614,"[[ 0.00022319  0.00022319  0.00022319]
 [-0.00022319 -0.00022319 -0.00022319]]","[[0.08817406 0.08817406 0.08817406]
 [2.47682594 2.47682594 2.47682594]]",-8.241592702537012,-8.249243863450948,0.007651160913935297,3070
615,615,"[[ 0.00022338  0.00022338  0.00022338]
 [-0.00022338 -0.00022338 -0.00022338]]","[[0.08929053 0.08929053 0.08929053]
 [2.47570947 2.47570947 2.47570947]]",-8.241592716623268,-8.249256369431695,0.007663652808426699,3075
616,616,"[[ 0.00022352  0.00022352  0.00022352]
 [-0.00022352 -0.00022352 -0.00022352]]","[[0.09040782 0.09040782 0.09040782]
 [2.47459218 2.47459218 2.47459218]]",-8.24159273089179,-8.249266298719903,0.007673567828112803,3080
617,617,"[[ 0.00022363  0.00022363  0.00022363]
 [-0.00022363 -0.00022363 -0.00022363]]","[[0.09152573 0.09152573 0.09152573]
 [2.47347427 2.47347427 2.47347427]]",-8.241592745346209,-8.249273624770497,0.007680879424289291,3085
618,618,"[[ 0.00022369  0.00022369  0.00022369]
 [-0.00022369 -0.00022369 -0.00022369]]","[[0.09264409 0.09264409 0.09264409]
 [2.47235591 2.47235591 2.47235591]]",-8.24159275997013,-8.249278322603265,0.0076855626331342975,3090
